MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,shap0,shap1,shap2,shap3,shap4,shap5,shap6,shap7,label
1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774194,37.85,-122.26,-0.7346117,0.13919118,-0.09987651,-0.0063043796,-0.009153017,0.5041789,-0.61056364,0.54568315,1.7969832
2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,-0.6975666,0.023915663,-0.122256316,0.0064686304,-0.030024076,-0.057847716,-0.5167651,0.51399004,1.1883537
2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245,37.85,-122.27,-0.5573206,0.105769604,-0.068678744,-0.003599828,-0.017552558,0.12710942,-0.59674925,0.55957437,1.6169916
2.1202,52.0,4.052805280528053,0.966996699669967,648.0,2.1386138613861387,37.85,-122.27,-0.70750165,0.1194204,-0.15764718,-0.025352845,-0.03434808,0.23291218,-0.47316992,0.52522147,1.5479733
1.9911,50.0,5.343675417661098,1.0859188544152745,990.0,2.3627684964200477,37.84,-122.26,-0.74651116,0.021750974,-0.086785644,0.008415617,0.0011195741,0.13254492,-0.60023016,0.53705263,1.3357961
2.6033,52.0,5.465454545454546,1.0836363636363637,690.0,2.5090909090909093,37.84,-122.27,-0.47460604,0.12656239,-0.13333218,0.015008857,-0.024820572,0.048605513,-0.5464345,0.55131215,1.6307348
1.3578,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,-122.27,-0.6954062,-0.0017962318,-0.1634481,-0.0016342269,-0.024982393,0.0980447,-0.59223795,0.5506773,1.2376558
1.7135,42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184,37.85,-122.27,-0.742336,0.001294727,-0.16156939,0.008974855,-0.015441647,0.019821705,-0.5735543,0.5519691,1.1575983
1.725,52.0,5.096234309623431,1.1317991631799162,1015.0,2.1234309623430963,37.84,-122.27,-0.8011621,0.12989199,-0.11178236,0.0122945625,-0.007186142,0.33491072,-0.60063684,0.5144421,1.5392113
2.1806,52.0,5.193846153846154,1.0369230769230768,853.0,2.624615384615385,37.84,-122.27,-0.7088218,0.109825164,-0.12578537,-0.0015686868,-0.027057528,-0.03902252,-0.5167903,0.4997612,1.2589793
2.6,52.0,5.270142180094787,1.0355450236966826,1006.0,2.3838862559241707,37.84,-122.27,-0.5444823,0.13031793,-0.14389083,-0.0036672447,-0.0040406818,0.1283162,-0.5323759,0.5370595,1.6356758
2.4038,41.0,4.495798319327731,1.0336134453781514,317.0,2.6638655462184873,37.85,-122.28,-0.6286771,0.003929995,-0.16883032,0.004224901,-0.049045034,-0.037604813,-0.52421165,0.50071126,1.1689364
2.4597,49.0,4.7280334728033475,1.0209205020920502,607.0,2.5397489539748954,37.85,-122.28,-0.61099917,-0.017784055,-0.17813379,0.010599913,-0.029300852,0.008218594,-0.5006621,0.4763875,1.2267653
1.808,52.0,4.7808564231738035,1.0604534005037782,1102.0,2.7758186397984885,37.85,-122.28,-0.7607937,0.10262448,-0.14773636,0.0035039661,-0.008977447,-0.037753705,-0.54615396,0.47054476,1.1436973
1.6424,50.0,4.40169133192389,1.040169133192389,1131.0,2.3911205073995774,37.84,-122.28,-0.77550316,0.011123926,-0.15218183,0.0045629097,-0.008386573,0.15269731,-0.6025816,0.50968504,1.2078551
1.6875,52.0,4.703225806451613,1.032258064516129,395.0,2.5483870967741935,37.84,-122.28,-0.71926475,0.09709448,-0.14200656,-0.0067675696,-0.04107917,0.029194774,-0.53439844,0.47660837,1.2278203
1.9274,49.0,5.068783068783069,1.1825396825396826,863.0,2.2830687830687832,37.84,-122.28,-0.82581794,-0.016105782,-0.09081189,0.03668063,0.0001238886,0.19743915,-0.6093692,0.52000123,1.2805796
1.9615,52.0,4.882086167800454,1.090702947845805,1168.0,2.6485260770975056,37.84,-122.28,-0.70609343,0.106461905,-0.13189386,0.014979128,-0.007631138,-0.044984635,-0.5329165,0.4515212,1.2178823
1.7969,48.0,5.737313432835821,1.2208955223880598,1026.0,3.062686567164179,37.84,-122.27,-0.7216786,0.0014474797,-0.027546406,-0.020163562,-0.002213967,-0.14248222,-0.66821015,0.5826343,1.0702264
1.375,49.0,5.0303951367781155,1.1124620060790273,754.0,2.291793313069909,37.83,-122.27,-0.8399436,0.0017037563,-0.118487686,0.0031990139,-0.03339924,0.15050496,-0.61610377,0.57153827,1.1874511
2.7303,51.0,4.972014925373134,1.0708955223880596,1258.0,2.3470149253731343,37.83,-122.27,-0.58319056,0.03547897,-0.15386795,0.0023725028,0.0014950067,0.10626021,-0.54646003,0.5675121,1.4980395
1.4861,49.0,4.6022727272727275,1.0681818181818181,570.0,2.159090909090909,37.83,-122.27,-0.8714675,0.010635475,-0.13939902,-0.00092008366,-0.037733722,0.17749682,-0.6065294,0.5661599,1.1666819
1.0972,48.0,4.807486631016043,1.1550802139037433,987.0,2.6390374331550803,37.83,-122.27,-0.8165162,0.01737764,-0.1483931,-0.031018846,-0.0063216225,-0.051501658,-0.5194716,0.5180582,1.0306525
1.4103,52.0,3.7493796526054592,0.967741935483871,901.0,2.235732009925558,37.83,-122.28,-0.73777777,0.10552473,-0.070349924,-0.027309576,-0.030226417,0.19398934,-0.4860413,0.5047074,1.5209558
3.48,52.0,4.757281553398058,1.0679611650485437,689.0,2.2297734627831716,37.83,-122.26,-0.15926169,0.10384984,-0.09782599,0.00970723,-0.027306855,0.24486627,-0.4921817,0.6114064,2.2616916
2.5898,52.0,3.4942528735632186,1.0272988505747127,1377.0,1.978448275862069,37.83,-122.26,-0.4717415,0.15522514,-0.13761438,-0.00202951,-0.0027599228,0.39098883,-0.52305424,0.57928693,2.05674
2.0978,52.0,4.215189873417722,1.0607594936708862,946.0,2.3949367088607594,37.83,-122.26,-0.7380746,0.11825754,-0.12213811,7.517822e-05,-0.02571932,0.13975497,-0.5297767,0.5079951,1.4188136
1.2852,51.0,3.7590361445783134,1.248995983935743,517.0,2.076305220883534,37.83,-122.26,-0.6985348,0.040395796,0.021639857,-0.014978916,-0.038880914,0.41030583,-0.57945025,0.5226901,1.7316264
1.025,49.0,3.7724867724867726,1.0687830687830688,462.0,2.4444444444444446,37.84,-122.26,-0.7485909,0.019587409,0.011488958,0.034917187,-0.042071227,0.17732693,-0.5718908,0.5503338,1.4995404
3.9643,52.0,4.797979797979798,1.02020202020202,467.0,2.3585858585858586,37.84,-122.26,0.16239625,0.07603671,-0.10512899,-0.009837772,-0.13563737,0.3072102,-0.47769737,0.5589149,2.4446948
3.0125,52.0,4.941780821917808,1.0650684931506849,660.0,2.26027397260274,37.83,-122.26,-0.29164755,0.11925692,-0.08979446,-0.0032114708,-0.03154083,0.243731,-0.49117976,0.61440885,2.1384606
2.6768,52.0,4.335078534031414,1.0994764397905759,718.0,1.8795811518324608,37.83,-122.26,-0.51731116,0.14540969,-0.15041411,0.032584928,-0.025424197,0.49428564,-0.5498709,0.53032595,2.028024
2.026,50.0,3.700657894736842,1.0592105263157894,616.0,2.026315789473684,37.83,-122.26,-0.6153495,0.056172274,-0.052872986,0.0019836072,-0.04593776,0.5017958,-0.6145925,0.5669962,1.8666346
1.7348,43.0,3.9802371541501977,1.233201581027668,558.0,2.205533596837945,37.82,-122.27,-0.81679964,0.011940126,-0.11529676,0.029528597,-0.022262571,0.22041497,-0.6030239,0.5338711,1.3068115
0.9506,40.0,3.9,1.21875,423.0,2.64375,37.82,-122.26,-0.7832699,0.0052759508,-0.13538514,-0.029129779,-0.018733317,-0.075248525,-0.5179667,0.5146599,1.0286422
1.775,40.0,2.6875,1.0653409090909092,700.0,1.9886363636363635,37.82,-122.27,-0.6227592,-0.0018633824,-0.060299203,-0.0033997884,-0.04900604,0.35881782,-0.6550377,0.59450126,1.6293927
0.9218,21.0,2.045662100456621,1.0342465753424657,735.0,1.678082191780822,37.82,-122.27,-0.561155,-0.059250206,0.036163203,-0.015435388,-0.07235776,0.46691683,-0.6434305,0.5993942,1.819284
1.5045,43.0,4.58968058968059,1.1203931203931203,1061.0,2.6068796068796067,37.82,-122.27,-0.78563005,0.002218121,-0.15232678,0.009157647,-0.011678723,-0.050603967,-0.52668524,0.51940405,1.0722947
1.1108,41.0,4.473611111111111,1.1847222222222222,1959.0,2.720833333333333,37.82,-122.27,-0.80249804,0.010236634,-0.17378141,-0.02109681,0.021589765,-0.051244635,-0.5465765,0.52672297,1.0317911
1.2475,52.0,4.075,1.14,1162.0,2.905,37.82,-122.27,-0.70623785,0.14397308,-0.15189016,-0.008434917,-0.005230208,-0.095958225,-0.5932045,0.5443409,1.1957977
1.6098,52.0,5.021459227467811,1.0085836909871244,701.0,3.0085836909871246,37.82,-122.28,-0.713336,0.07269307,-0.14773773,0.0072733616,-0.03770821,-0.09830636,-0.5924646,0.50606716,1.0649204
1.4113,52.0,4.295454545454546,1.1045454545454545,576.0,2.618181818181818,37.82,-122.28,-0.75417286,0.104911394,-0.14380893,0.011254021,-0.028837895,-0.057563417,-0.53923786,0.46245295,1.1234373
1.5057,52.0,4.77992277992278,1.111969111969112,622.0,2.4015444015444016,37.82,-122.28,-0.7525997,0.10042354,-0.14688525,0.010084242,-0.028315257,0.14185624,-0.59292006,0.4773421,1.2774252
0.8172,52.0,6.102459016393443,1.3729508196721312,728.0,2.9836065573770494,37.82,-122.28,-0.74355364,0.06634421,-0.026323035,-0.012219812,-0.024836663,-0.14195968,-0.67473584,0.5087093,1.0198642
1.2171,52.0,4.5625,1.1217105263157894,1074.0,3.5328947368421053,37.82,-122.28,-0.67565775,0.09859422,-0.10454311,-0.016406486,-0.006263853,-0.24072933,-0.5812155,0.51406497,1.0562825
2.5625,2.0,2.7719298245614037,0.7543859649122807,94.0,1.6491228070175439,37.82,-122.29,-0.3765595,-0.02494945,-0.3567119,-0.20670715,-0.020206133,0.2223628,-0.56325805,0.50003254,1.2424426
3.3929,52.0,5.994652406417113,1.1283422459893049,554.0,2.962566844919786,37.83,-122.29,-0.15349911,0.08039042,0.0005815639,0.01598056,-0.015667863,-0.112383425,-0.6031082,0.62185323,1.9025862
6.1183,49.0,5.869565217391305,1.2608695652173914,86.0,3.739130434782609,37.82,-122.29,0.31897077,-0.20162249,-0.19580984,-0.058424763,-0.3626138,-0.51539004,-0.5870364,0.4289178,0.8954298
0.9011,50.0,6.229508196721311,1.5573770491803278,377.0,3.0901639344262297,37.81,-122.29,-0.7043531,-0.06821143,-0.0719155,-0.040713713,-0.060772225,-0.16670053,-0.66274977,0.5323442,0.82536644
1.191,52.0,7.69811320754717,1.490566037735849,521.0,3.2767295597484276,37.81,-122.3,-0.77276313,0.03816915,0.08742908,-0.0832099,-0.02706787,-0.26208577,-0.6315232,0.47938693,0.89677393
2.5938,48.0,6.225563909774436,1.368421052631579,392.0,2.9473684210526314,37.81,-122.3,-0.46711278,-0.079591796,-0.07494742,-0.040624306,-0.056730263,-0.124617696,-0.64564824,0.5479213,1.127088
1.1667,52.0,5.401069518716578,1.1176470588235294,604.0,3.229946524064171,37.81,-122.3,-0.6731638,0.06801354,-0.0869014,-0.0173301,-0.028188055,-0.22458722,-0.64415,0.5344062,0.9965385
0.8056,48.0,4.382530120481928,1.0662650602409638,788.0,2.3734939759036147,37.81,-122.3,-0.7978859,-0.019865809,-0.16672815,0.030867584,-0.03437024,0.1417263,-0.625643,0.4978328,1.0943727
2.6094,52.0,6.98639455782313,1.6598639455782314,492.0,3.3469387755102042,37.8,-122.29,-0.4878293,0.09940742,0.043107416,-0.06352272,-0.026748568,-0.26596475,-0.60800844,0.48362967,1.2425101
1.8516,52.0,6.975609756097561,1.329268292682927,274.0,3.341463414634146,37.81,-122.3,-0.7038601,0.0682334,0.07297054,-0.11146998,-0.037148222,-0.23639199,-0.62263125,0.48677224,0.98491347
0.9802,46.0,4.584288052373159,1.0540098199672667,1823.0,2.983633387888707,37.81,-122.29,-0.73746276,-0.0024927713,-0.14889699,0.0070951087,0.019112524,-0.111032695,-0.62217206,0.56086326,1.0334527
1.7719,26.0,6.047244094488189,1.1968503937007875,392.0,3.0866141732283463,37.81,-122.29,-0.64880145,0.0015588894,-0.03426829,-0.03008416,-0.046782807,-0.13285406,-0.66161585,0.5516834,1.067275
0.7286,46.0,3.375451263537906,1.0722021660649819,582.0,2.101083032490975,37.81,-122.29,-0.7327514,0.007319318,-0.11192409,0.033550303,-0.052684393,0.2598264,-0.6095594,0.5346848,1.3969007
1.75,49.0,5.552631578947368,1.3421052631578947,560.0,3.6842105263157894,37.81,-122.29,-0.6802222,-0.044285215,-0.027535314,-0.007166081,-0.033230115,-0.25800133,-0.6513719,0.5360832,0.90270954
0.4999,46.0,1.7142857142857142,0.5714285714285714,18.0,2.5714285714285716,37.81,-122.29,-0.6873981,-0.24798669,-0.22304384,-0.29247928,0.19773863,0.084752716,-0.5089049,0.4528769,0.84399426
2.483,20.0,6.2781954887218046,1.2105263157894737,290.0,2.180451127819549,37.81,-122.29,-0.51633507,0.005362593,-0.03059701,-0.031913117,-0.049051408,0.31100383,-0.5960996,0.4915971,1.6524063
0.9241,17.0,2.8177676537585423,1.0523917995444192,762.0,1.7357630979498861,37.81,-122.28,-0.55816054,-0.12274376,-0.041389506,-0.017836042,-0.075570494,0.32340935,-0.64477754,0.58508307,1.5164534
2.4464,36.0,5.724950884086444,1.1041257367387034,1236.0,2.4282907662082516,37.81,-122.28,-0.61916876,-0.0068813516,-0.07503829,0.006438032,-0.0012934799,0.07211838,-0.6184932,0.53105044,1.3571707
1.1111,19.0,5.830917874396135,1.173913043478261,721.0,3.4830917874396135,37.81,-122.28,-0.6570156,0.010799383,-0.01046955,-0.0015009727,-0.029917875,-0.20260152,-0.66443676,0.5432446,1.0565407
0.8026,23.0,5.369230769230769,1.1507692307692308,1054.0,3.243076923076923,37.81,-122.29,-0.7042875,0.004980288,-0.097941674,0.008057891,-0.013129463,-0.18737084,-0.6286941,0.51568574,0.9657388
2.0114,38.0,4.412903225806452,1.135483870967742,344.0,2.2193548387096773,37.8,-122.28,-0.6652646,0.016864702,-0.13763806,0.005744119,-0.052394647,0.20030552,-0.5756072,0.5348494,1.3952987
1.5,17.0,3.1972318339100347,1.0,609.0,2.1072664359861593,37.81,-122.28,-0.53835386,-0.10134458,-0.02722412,0.0010395003,-0.033213504,0.27537054,-0.6056793,0.5636982,1.6027316
1.1667,52.0,3.75,1.0,183.0,3.267857142857143,37.81,-122.27,-0.58899355,0.08529716,-0.09220806,0.012295478,-0.013183577,-0.24509491,-0.56111085,0.5769139,1.2423548
1.5208,52.0,3.9080459770114944,1.1149425287356323,200.0,2.2988505747126435,37.81,-122.28,-0.7778753,0.07882852,-0.14388259,-0.0036765104,-0.028597243,0.12584767,-0.5822531,0.4881861,1.225017
0.8075,52.0,2.490322580645161,1.0580645161290323,346.0,2.232258064516129,37.81,-122.28,-0.6296044,0.027393209,0.06832391,0.018191341,-0.15521552,0.22945042,-0.55045146,0.44970995,1.5262367
1.8088,35.0,5.609467455621302,1.0887573964497042,467.0,2.7633136094674557,37.81,-122.28,-0.7060775,-0.005294098,-0.04918123,0.007753981,-0.016969774,-0.0649562,-0.63366914,0.5375767,1.1376221
2.4083,52.0,6.721739130434782,1.2434782608695651,377.0,3.2782608695652176,37.81,-122.28,-0.6106254,0.08554612,0.04079308,-0.024065021,-0.04346422,-0.24140309,-0.5894953,0.48079205,1.1665174
0.977,40.0,2.3157894736842106,1.186842105263158,582.0,1.5315789473684212,37.81,-122.27,-0.677423,0.0056742644,-0.12231249,-0.13007495,-0.06782243,0.48369095,-0.6350918,0.5778966,1.5029764
0.76,10.0,2.6515151515151514,1.0545454545454545,546.0,1.6545454545454545,37.81,-122.27,-0.47673777,-0.16489543,-0.02568537,0.007718566,-0.07997984,0.45512265,-0.65092576,0.57812566,1.7111814
0.9722,10.0,2.6923076923076925,1.0769230769230769,125.0,3.2051282051282053,37.8,-122.27,-0.5375578,-0.026226638,-0.0915549,0.022421112,0.04542006,-0.152622,-0.75551647,0.5099337,1.0827363
1.2434,52.0,2.929411764705882,0.9176470588235294,396.0,4.658823529411765,37.8,-122.27,-0.14732307,0.3171167,0.09798406,0.306434,-0.0318472,0.2556018,-0.26723823,0.90692216,3.5060878
2.0938,16.0,2.74585635359116,1.0828729281767955,800.0,2.2099447513812156,37.8,-122.27,-0.480338,-0.10538102,-0.095400184,0.0070122653,-0.037689444,0.12954134,-0.60635155,0.5606756,1.4405079
0.8668,52.0,2.4431818181818183,0.9886363636363636,904.0,10.272727272727273,37.8,-122.28,-0.51454127,0.086583585,0.018078167,-0.13517235,-0.08037181,-0.0062020943,-0.50965506,0.6362757,1.5634344
0.75,52.0,2.823529411764706,0.9117647058823529,191.0,5.617647058823529,37.8,-122.28,-0.48368552,0.20786895,-0.08744669,0.03578751,-0.01577858,0.08392931,-0.46955246,0.707984,2.0475445
2.6354,27.0,3.493377483443709,1.1490066225165563,718.0,2.377483443708609,37.79,-122.27,-0.39549175,0.031316828,0.0075620706,0.024598788,0.0030877232,0.2301934,-0.48875982,0.6043308,2.0852761
1.8477,39.0,3.6723768736616704,1.3340471092077089,1327.0,2.841541755888651,37.8,-122.27,-0.6319732,0.030357659,-0.0127894925,0.025754528,0.013673305,-0.054710835,-0.5201889,0.53321815,1.4517803
2.0096,36.0,2.294016358157555,1.066293585880327,3469.0,1.493327593628928,37.8,-122.26,-0.71307963,0.06967486,0.04374845,-0.0033900002,-0.019363321,0.4412127,-0.58536386,0.5756924,1.8775703
2.8345,31.0,3.8949152542372882,1.1279661016949152,2048.0,1.735593220338983,37.82,-122.26,-0.395127,0.08749658,-0.059957318,0.04819455,0.028368607,0.47202745,-0.6237825,0.64227957,2.2679386
2.0062,29.0,3.681318681318681,1.1758241758241759,202.0,2.21978021978022,37.81,-122.26,-0.6624786,0.05450129,-0.1784611,-0.007006822,-0.047474425,0.1596193,-0.5474457,0.5728036,1.4124964
1.2185,22.0,2.9456,1.016,2024.0,1.6192,37.82,-122.26,-0.61448574,-0.021051852,0.07058549,-0.01784843,0.038567152,0.4505752,-0.60868484,0.54759526,1.9136904
2.6104,37.0,3.7071428571428573,1.1071428571428572,1838.0,1.8755102040816327,37.82,-122.26,-0.49205655,0.054414116,-0.05368203,0.03071056,0.019432154,0.47349852,-0.5624304,0.59137183,2.129697
2.4912,29.0,3.7248,1.1312,2304.0,1.8432,37.81,-122.25,-0.53960854,0.08793256,-0.078078456,0.024031986,0.021548264,0.605348,-0.48846823,0.61090285,2.3120475
3.2177,28.0,3.8784235136940546,1.070808283233133,2563.0,1.7120908483633934,37.81,-122.25,-0.25582007,0.14148983,-0.12647611,-0.0015995222,0.026976548,0.63778776,-0.44999683,0.61013365,2.6509347
3.125,39.0,3.745614035087719,1.0614035087719298,389.0,1.706140350877193,37.81,-122.25,-0.20946153,0.19625077,-0.117346264,-0.02017172,-0.04552394,0.6824861,-0.42777625,0.5870354,2.7139316
2.5795,52.0,3.5154975530179446,1.1435562805872757,895.0,1.4600326264274062,37.81,-122.25,-0.4757735,0.25751072,0.086792625,0.09087319,0.001460668,0.74747497,-0.4627418,0.62635976,2.940395
2.8406,34.0,3.281721632196758,1.0698714365567357,2689.0,1.5030743432084963,37.81,-122.26,-0.32455793,0.18039833,0.119599685,0.01312725,0.040203825,0.64325637,-0.47025245,0.6721028,2.942317
4.9306,52.0,6.184426229508197,0.9221311475409836,674.0,2.762295081967213,37.82,-122.24,0.38749465,0.2181843,0.06032077,0.013811668,-0.02949252,0.013438739,-0.5686298,0.5758627,2.7394292
3.2727,52.0,4.442982456140351,1.0570175438596492,709.0,1.5548245614035088,37.81,-122.24,-0.14013419,0.34417188,-0.14923684,-0.009617888,0.01933385,0.64996815,-0.43659124,0.4689348,2.815267
3.1691,52.0,4.165876777251185,1.0900473933649288,686.0,1.6255924170616114,37.81,-122.25,-0.17375757,0.2975589,-0.07322452,0.06413627,-0.01419551,0.7596081,-0.44839746,0.55458474,3.0347517
3.9,52.0,4.848189415041783,1.0459610027855153,1444.0,2.011142061281337,37.82,-122.24,-0.07720435,0.13222882,-0.051544115,-0.0043928507,0.050985347,0.46094108,-0.62577313,0.50135154,2.455031
3.9063,28.0,4.160847880299252,1.0660847880299251,1520.0,1.8952618453865338,37.82,-122.25,0.14404565,0.11174003,-0.16793545,-0.0045199194,0.026825262,0.627268,-0.5711951,0.63190573,2.8665726
5.0917,52.0,5.628458498023716,1.1422924901185771,550.0,2.1739130434782608,37.82,-122.25,0.6210636,0.21932453,-0.08525127,0.02866236,-0.07118996,0.56671447,-0.5505281,0.5489727,3.3462067
2.6429,32.0,3.7270058708414875,1.0743639921722115,1806.0,1.7671232876712328,37.82,-122.25,-0.5020122,0.101483025,-0.056032524,0.02287465,0.025565553,0.51708436,-0.55592716,0.6357635,2.2572381
3.0233,26.0,3.2530813475760065,0.9827444535743632,1749.0,1.4371405094494658,37.82,-122.25,-0.45203513,0.02466096,0.12346371,-0.030546641,0.011504083,0.38769132,-0.5238853,0.7126325,2.3219244
3.1484,52.0,4.578034682080925,1.0770712909441233,939.0,1.8092485549132948,37.83,-122.25,-0.20874225,0.20592134,-0.07615737,0.008332478,-0.007610975,0.5584913,-0.58652395,0.5641335,2.526283
3.4722,35.0,3.822274881516588,1.014218009478673,675.0,1.599526066350711,37.83,-122.25,-0.11521631,0.12027584,-0.022077164,-0.02565701,-0.008356941,0.7162682,-0.5726758,0.6110974,2.7720973
3.1429,52.0,4.3951890034364265,0.9862542955326461,534.0,1.8350515463917525,37.83,-122.25,-0.18770453,0.19289313,-0.13308035,-0.04015774,-0.022274008,0.51129097,-0.5622593,0.5557789,2.3829262
2.4234,28.0,3.0234798314268514,1.053582179409994,2558.0,1.5400361228175798,37.83,-122.25,-0.5671622,0.06128041,-0.002493767,0.021269595,0.05369434,0.43464273,-0.55673516,0.5692469,2.082182
3.0897,52.0,4.040501446480231,1.0655737704918034,1786.0,1.7222757955641272,37.83,-122.25,-0.41413954,0.22154488,-0.052314986,0.001246527,0.029479844,0.43196312,-0.62282336,0.5854797,2.2488744
5.8596,50.0,6.742627345844504,1.0697050938337802,970.0,2.6005361930294906,37.84,-122.23,0.9024411,0.15566541,0.16419266,0.011042924,0.035016503,0.09027633,-0.4669334,0.60017866,3.5603187
5.2868,47.0,6.546391752577319,0.9360824742268041,1098.0,2.263917525773196,37.84,-122.23,0.52299196,0.011145018,0.1383496,0.0052718427,0.008883518,0.34557348,-0.44054982,0.5681503,3.228254
5.956,41.0,6.851063829787234,1.0797872340425532,794.0,2.1117021276595747,37.83,-122.24,0.94283724,0.099680506,0.18922828,0.007281498,0.0049748393,0.4660396,-0.45184693,0.5373187,3.8639524
4.9643,37.0,7.1063829787234045,1.148936170212766,98.0,2.0851063829787235,37.85,-122.24,0.35152793,0.05552787,0.22165109,-0.017993722,-0.071890004,0.4329699,-0.51946634,0.55799896,3.0787644
6.3434,52.0,6.947890818858561,1.0198511166253101,1061.0,2.632754342431762,37.85,-122.23,1.0302604,0.1743897,0.21690348,8.8592526e-05,0.010039655,0.07544343,-0.58648044,0.59894514,3.5880284
5.1773,52.0,6.358558558558559,1.0342342342342343,1177.0,2.120720720720721,37.84,-122.24,0.713795,0.28265715,0.09703467,-0.03559681,0.03259911,0.5717012,-0.46146333,0.5308155,3.7999806
7.2354,52.0,7.11716621253406,0.9945504087193461,901.0,2.455040871934605,37.85,-122.24,1.1808432,0.1279495,0.22254983,-0.0075195245,-0.002160329,0.088621385,-0.6060387,0.61216825,3.6848524
5.457,28.0,5.5303347280334725,1.096234309623431,2031.0,2.1244769874476988,37.85,-122.22,0.67467177,0.12509674,-0.04292376,0.02850307,0.067800306,0.6433395,-0.48878545,0.507006,3.5831463
7.5,50.0,6.127348643006263,0.9874739039665971,1031.0,2.152400835073069,37.84,-122.22,1.1558703,0.014480873,-0.045164216,-0.028876085,0.031451836,0.2348835,-0.6757463,0.5367821,3.2921207
6.0194,44.0,5.735343383584589,1.0,1358.0,2.274706867671692,37.84,-122.21,0.8630318,0.04931302,0.048963856,-0.022159934,0.047151867,0.3624002,-0.5136907,0.5178574,3.4213054
7.5544,40.0,7.631498470948012,1.0305810397553516,1616.0,2.470948012232416,37.83,-122.21,1.3273554,0.041459598,0.30318606,0.003910846,0.03085943,0.06798365,-0.59880525,0.5789588,3.8233469
6.0666,30.0,6.446064139941691,1.0087463556851313,844.0,2.4606413994169096,37.84,-122.2,0.803441,0.034855105,0.081009716,-0.025728172,0.010463437,0.19257662,-0.50383025,0.576302,3.2375274
7.0548,34.0,6.125,0.9879032258064516,1140.0,2.2983870967741935,37.84,-122.21,1.2224389,0.07554444,-0.022669325,-0.027626725,0.024037914,0.20590083,-0.68191004,0.515909,3.380063
