variance of Wavelet,skewness of Wavelet,curtosis of Wavelet,entropy,shap0,shap1,shap2,shap3,label
-0.24811,-0.17797,4.9068,0.15429,-0.34213158,0.22812937,-3.5268784,-0.062595166,0
1.4884,3.6274,3.3080000000000003,0.48921,-3.190517,-0.33721533,-3.4342365,0.45086342,0
4.2969,7.617000000000001,-2.3874,-0.96164,-4.802721,-3.150391,1.4629947,-0.23882695,0
-0.96511,9.4111,1.7305,-4.8629,1.4890821,-6.8918233,-0.7580829,-0.15960734,0
-1.6162,0.80908,8.1628,0.60817,2.9518156,-2.112754,-4.6073856,0.12748381,0
2.4391,6.4417,-0.80743,-0.69139,-5.306978,-2.6070402,0.43901116,-0.30025363,0
2.6881,6.0195,-0.46641,-0.6926800000000001,-5.3871903,-2.547219,0.45940232,-0.30025363,0
3.6289,0.8132199999999999,1.6277,0.77627,-6.324951,0.12690128,-0.56833667,0.47210103,0
4.5679,3.1929,-2.1055,0.29653,-6.248677,0.6517837,2.3829126,0.17122912,0
3.4805,9.7008,-3.7541,-3.4379,-4.379893,-3.5245326,1.4394354,-0.117539026,0
4.1711,8.722000000000001,-3.0224,-0.5969899999999999,-4.4204326,-3.4925969,1.4229119,-0.23882695,0
-0.2062,9.2207,-3.7044,-6.8103,-0.39132214,-6.742816,1.9426293,-0.15027457,0
-0.006892,9.2931,-0.41243,-1.9638,-0.318167,-6.519689,1.1963072,-0.205433,0
0.96441,5.8395,2.3235,0.066365,-3.4624667,-2.2321763,-1.8683903,-0.13467859,0
2.8561,6.9176,-0.79372,0.48403,-5.40555,-2.662635,0.48950684,0.25556576,0
-0.7869,9.5663,-3.7867,-7.5034,1.0895765,-7.1728973,1.5236509,-0.114670835,0
2.0843,6.6258,0.48382,-2.2134,-4.740045,-2.3176038,-0.5962663,-0.20600314,0
-0.7869,9.5663,-3.7867,-7.5034,1.0895765,-7.1728973,1.5236509,-0.114670835,0
3.9102,6.065,-2.4534,-0.68234,-5.1965213,-2.7995913,1.5122633,-0.2450952,0
1.6349,3.286,2.8753,0.0870539999999999,-4.073764,-0.10907179,-2.501255,-0.16350606,0
4.3239,-4.8835,3.4356,-0.5776,-6.188547,1.6372049,-1.7473261,-0.38174027,0
5.2620000000000005,3.9834,-1.5572,1.0103,-6.3414087,0.58692586,1.916031,0.29448587,0
3.1452,5.825,-0.51439,-1.4944,-5.6780696,-2.3002496,0.50331163,-0.30025363,0
2.549,6.1499,-1.1605,-1.2371,-5.3871903,-2.547219,0.45940232,-0.30025363,0
4.9264,5.496,-2.4774,-0.50648,-5.4874,-2.5526216,1.5561726,-0.2450952,0
4.8265,0.80287,1.6371,1.1875,-6.324951,0.12690128,-0.56833667,0.47210103,0
2.5635,6.7769,-0.61979,0.38576,-5.40555,-2.662635,0.48950684,0.25556576,0
5.807,5.0097,-2.2384,0.43878,-5.9574814,-0.5221092,2.064842,0.17641307,0
3.1377,-4.1096,4.5701,0.98963,-5.8438907,1.3158412,-1.6283357,0.47620285,0
-0.78289,11.3603,-0.37644,-7.0495,1.5044558,-7.0834494,1.043291,-0.13863763,0
2.888,0.44696,4.5907,-0.24398,-5.342385,-0.16264488,-2.0428772,-0.36770606,0
0.49665,5.527,1.7785,-0.47156,-2.562874,-3.3773305,-1.3065875,-0.50241834,0
4.2586,11.2962,-4.0943,-4.3457,-4.3413367,-3.520785,1.8689742,-0.117539026,0
1.7939,-1.1174,1.5454,-0.26079,-5.3750362,1.4424161,-0.9352328,-0.48044473,0
5.4021,3.1039,-1.1536,1.5651,-6.6083283,0.52373785,1.150003,0.36477125,0
2.5367,2.599,2.0938,0.20085,-5.8024263,-0.0014602356,-1.1803694,-0.0366102,0
4.6054,-4.0765,2.7587,0.31981,-6.1826496,1.3564899,-1.2799234,0.19962509,0
2.4235,9.5332,-3.0789,-2.7746,-4.3633695,-3.5245326,1.4229119,-0.117539026,0
1.0009,7.7846,-0.28219,-2.6608,-2.6599452,-4.045207,0.25119874,-0.41396385,0
0.12326,8.9848,-0.9351,-2.4332,-0.27893627,-6.54074,1.1752567,-0.20256247,0
3.9529,-2.3548,2.3792,0.4827399999999999,-6.1627865,1.3998995,-1.2560952,0.2971207,0
4.1373,0.49248,1.093,1.8276,-6.324951,0.12690128,-0.56833667,0.47210103,0
4.7181,10.0153,-3.9486,-3.8582,-4.4014425,-3.5245326,1.5305252,-0.117539026,0
4.1654,-3.4495,3.643,1.0879,-5.889294,1.33142,-1.5985117,0.47620285,0
4.4069,10.9072,-4.5775,-4.4271,-4.5009513,-3.4778914,3.0639467,-0.117539026,0
2.3066,3.5364,0.5755100000000001,0.41938,-5.8774667,0.13467422,-0.48659414,0.27311504,0
3.7935,7.9853,-2.5477,-1.872,-4.5938067,-3.3292994,1.4329888,-0.23882695,0
0.049175,6.1437,1.7828,-0.72113,-0.74207723,-4.339491,-1.0661334,-0.47175378,0
0.24835,7.6439,0.9885,-0.87371,-0.8959032,-5.1263094,-0.4313889,-0.4303869,0
1.1317,3.9647,3.3979,0.84351,-2.9374251,-0.39150384,-3.2978563,0.9116199,0
2.8033,9.0862,-3.3668,-1.0224,-4.4369564,-3.4925969,1.4394354,-0.23882695,0
4.4682,2.2907,0.95766,0.8305799999999999,-6.3017883,0.10373819,-0.56833667,0.47210103,0
5.0185,8.5978,-2.9375,-1.281,-4.4204326,-3.4925969,1.4229119,-0.23882695,0
1.8664,7.7763,-0.23849,-2.9634,-4.2255664,-3.163781,0.2072625,-0.17269747,0
3.245,6.63,-0.63435,0.8693700000000001,-5.436279,-2.6744258,0.46645808,0.32113373,0
4.0296,2.6756,0.80685,0.7167899999999999,-6.317391,0.07978663,-0.60046405,0.344504,0
-1.1313,1.9037,7.5339,1.022,2.2801373,-2.2352583,-4.708503,0.28196448,0
0.87603,6.8141,0.84198,-0.17156,-3.1831644,-2.748653,-1.1071237,-0.6168556,0
4.1197,-2.7956,2.0707,0.6741199999999999,-6.272925,1.4767712,-0.7840404,0.31307614,0
3.8027,0.81529,2.1041,1.0245,-5.8641534,0.03304115,-1.0770248,0.42049676,0
1.4806,7.6377,-2.7876,-1.0341,-1.7895268,-4.79626,2.3769846,-0.29571366,0
4.0632,3.584,0.72545,0.39481,-6.3542233,0.11107421,-0.5235306,0.27311504,0
4.3064,8.2068,-2.7824,-1.4336,-4.448993,-3.4640362,1.4229119,-0.23882695,0
2.4486,-6.3175,7.9632,0.2060199999999999,-5.974662,1.7076166,-2.1177022,-0.041884765,0
3.2718,1.7837,2.1161,0.61334,-5.7652545,-0.014073465,-1.1305455,0.22295414,0
-0.64472,-4.6062,8.347000000000001,-2.7099,1.7405878,0.7413175,-3.7744725,-0.40856075,0
2.9543,1.0759999999999998,0.64577,0.89394,-6.521175,0.20943403,-0.21764201,0.47065765,0
2.1616,-6.8804,8.1517,-0.081048,-5.3304176,1.8322017,-2.366866,-0.122613,0
3.82,10.9279,-4.0112,-5.0284,-4.41033,-3.5245326,1.611561,-0.117539026,0
-2.7419,11.4038,2.5394,-5.5793,3.0392294,-6.5642204,-0.9751444,-0.060954172,0
3.3669,-5.1856,3.6935,-1.1427,-6.205741,1.6715935,-1.7645206,-0.38174027,0
4.5597,-2.4211,2.6413,1.6168,-6.201602,1.423851,-1.2210349,0.47620285,0
5.1129,-0.49871,0.62863,1.1189,-6.6264224,0.58422023,-0.24090174,0.50221163,0
3.3397,-4.6145,3.9823,-0.23751,-6.05571,1.4558643,-1.698823,-0.38174027,0
4.2027,0.2276099999999999,0.96108,0.97282,-6.324951,0.12690128,-0.56833667,0.47210103,0
3.5438,1.2395,1.997,2.1547,-5.8409905,0.009878062,-1.0770248,0.42049676,0
2.3136,10.6651,-3.5288,-4.7672,-3.8027656,-3.636514,1.3335416,-0.117539026,0
-1.8584,7.886,-1.6643,-1.8384,2.118587,-6.4480577,1.2548367,-0.1934318,0
3.1060000000000003,9.5414,-4.2536,-4.003,-4.3413367,-3.520785,1.8689742,-0.117539026,0
2.9163,10.8306,-3.3437,-4.122,-4.379893,-3.5245326,1.4394354,-0.117539026,0
3.9922,-4.4676,3.7304,-0.1095,-5.8351035,1.2399061,-1.6857214,-0.117085084,0
1.518,5.6946,0.094818,-0.0267379999999999,-3.509894,-2.9452085,0.27984697,-0.27083087,0
3.2351,9.647,-3.2074,-2.5948,-4.379893,-3.5245326,1.4394354,-0.117539026,0
4.2188,6.8162,-1.2804,0.76076,-5.433931,-2.674631,0.4688061,0.31664312,0
1.7819,6.9176,-1.2744,-1.5759,-4.39928,-3.038,0.3943857,-0.31188542,0
2.5331,2.9135,-0.8220000000000001,-0.12243,-6.5229216,0.50903815,1.1527132,-0.22778736,0
3.8969,7.4163,-1.8245,0.14007,-4.89026,-2.9980226,1.3506529,0.09108977,0
2.108,6.7955,-0.1708,0.4905,-4.85219,-2.717462,0.2650377,0.25556576,0
2.8969,0.70768,2.29,1.8663,-5.7715325,-0.026996078,-1.5490353,0.40518034,0
0.9297,-3.7971,4.6429,-0.2957,-3.6055315,1.4486144,-2.9442043,-0.5664646,0
3.4642,10.6878,-3.4071,-4.109,-4.379893,-3.5245326,1.4394354,-0.117539026,0
4.0713,10.4023,-4.1722,-4.7582,-4.3413367,-3.520785,1.8689742,-0.117539026,0
-1.4572,9.1214,1.7425,-5.1241,1.7548752,-6.77011,-0.7717946,-0.11686884,0
-1.5075,1.9224,7.1466,0.89136,2.562524,-2.2479236,-4.642535,0.2321054,0
-0.91718,9.9884,1.1804,-5.2263,1.5602708,-6.83527,-0.22907339,-0.17108418,0
2.994,7.2011,-1.2153,0.3211,-5.3845134,-2.6778955,0.4965102,0.24278657,0
-2.343,12.9516,3.3285,-5.9426,2.5793052,-6.44759,-1.3175751,-0.08377147,0
3.7818,-2.8846,2.2558,-0.15734,-6.19307,1.332337,-1.3082448,-0.3538314,0
4.6689,1.3098,0.0554039999999999,1.909,-6.723208,0.41719386,0.72505563,0.36477125,0
3.4663,1.1112,1.7425,1.3388,-5.9428763,0.077449754,-0.9061691,0.43004948,0
3.2697,-4.3414,3.6884,-0.29829,-5.847432,1.2376512,-1.6888869,-0.38174027,0
5.1302,8.6703,-2.8913,-1.5086,-4.4204326,-3.4925969,1.4229119,-0.23882695,0
2.0139,6.1416,0.37929,0.56938,-4.8640847,-2.3893807,-0.56003326,0.2593128,0
0.4339,5.5395,2.033,-0.4043199999999999,-2.6149542,-3.2351682,-1.4101391,-0.48894894,0
-1.0401,9.3987,0.85998,-5.3336,1.5602708,-6.83527,-0.22907339,-0.17108418,0
4.1605,11.2196,-3.6136,-4.0819,-4.379893,-3.5245326,1.4394354,-0.117539026,0
5.438,9.4669,-4.9417,-3.9202,-4.4220467,-3.4778914,3.2185884,-0.117539026,0
5.032,8.2026,-2.6256,-1.0341,-4.448993,-3.4640362,1.4229119,-0.23882695,0
5.2418,10.5388,-4.1174,-4.2797,-4.3413367,-3.520785,1.8689742,-0.117539026,0
-0.2062,9.2207,-3.7044,-6.8103,-0.39132214,-6.742816,1.9426293,-0.15027457,0
2.0911,0.94358,4.5512,1.234,-4.956111,-0.2367685,-2.3238378,0.40518034,0
1.7317,-0.34765,4.1905,-0.99138,-4.177938,0.324604,-2.8709865,-0.4119571,0
4.1736,3.3336,-1.4244,0.60429,-6.555951,0.518377,1.2882478,0.28205156,0
3.9232,-3.2467,3.4579,0.83705,-5.889294,1.33142,-1.5985117,0.47620285,0
3.8481,10.1539,-3.8561,-4.2228,-4.379893,-3.5245326,1.4394354,-0.117539026,0
0.5195,-3.2633,3.0895,-0.9849,-2.4193795,1.5408038,-3.2732832,-0.5933547,0
3.8584,0.78425,1.1033,1.7008,-6.324951,0.12690128,-0.56833667,0.47210103,0
1.7496,-0.1759,5.1827,1.2922,-4.2121797,0.19987525,-2.6144667,0.7400649,0
3.6277,0.9829,0.68861,0.63403,-6.4454393,0.18548253,-0.2711627,0.27311504,0
2.7391,7.4018,0.071684,-2.5302,-5.1495075,-2.6356728,0.24415009,-0.1730039,0
4.5447,8.2274,-2.4166,-1.5875,-4.4204326,-3.4925969,1.4229119,-0.23882695,0
-1.7599,11.9211,2.6756,-3.3241,2.004977,-6.743541,-1.0262195,-0.09469581,0
5.0691,0.21313,0.20278,1.2095,-6.6489224,0.28436336,0.15031639,0.47065765,0
3.4591,11.112,-4.2039,-5.0931,-4.3413367,-3.520785,1.8689742,-0.117539026,0
1.9358,8.1654,-0.023425,-2.2586,-4.1742277,-3.0903926,0.082535475,-0.17269747,0
2.486,-0.99533,5.3404,-0.15475,-5.6014524,1.0519835,-1.8057344,-0.3538314,0
2.4226,-4.5752,5.947,0.2150699999999999,-5.9782534,1.3620969,-1.7741187,-0.036356866,0
3.9479,-3.7723,2.883,0.019813,-6.1810255,1.3385994,-1.3074409,-0.09053739,0
2.2634,-4.4862,3.6558,-0.61251,-5.251114,1.3676097,-1.9762268,-0.38174027,0
1.3566,4.2358,2.1341,0.3211,-3.485345,-0.44733036,-2.3741891,0.40117437,0
5.0452,3.8964,-1.4304,0.8629100000000001,-6.5697756,0.49783048,1.2398993,0.36477125,0
3.5499,8.6165,-3.2794,-1.2009,-4.4369564,-3.4925969,1.4394354,-0.23882695,0
0.17346,7.8695,0.26876,-3.7883,-0.74138033,-5.410165,0.14867269,-0.2997296,0
2.4008,9.3593,-3.3565,-3.3526,-4.379893,-3.5245326,1.4394354,-0.117539026,0
4.8851,1.5995,-0.000291,1.6401,-6.723208,0.41719386,0.72505563,0.36477125,0
4.1927,-3.2674,2.5839,0.21766,-6.2166996,1.3385994,-1.3259476,-0.036356866,0
1.1166,8.6496,-0.96252,-1.8112,-2.468353,-4.233632,0.3080933,-0.53525174,0
1.0235,6.901,-2.0062,-2.7125,-2.3959856,-4.1187277,1.7539095,-0.27029973,0
-1.803,11.8818,2.0458,-5.2728,2.0688019,-7.0331845,-0.80818075,-0.08691546,0
0.11739,6.2761,-1.5495,-2.4746,-0.09710346,-5.2222323,1.8687565,-0.1984349,0
0.5706,-0.0248,1.2421,-0.5621,-2.1859396,0.2889198,-1.0912049,-0.784325,0
4.0552,-2.4583,2.2806,1.0323,-6.201602,1.423851,-1.2210349,0.47620285,0
-1.6952,1.0657,8.8294,0.94955,3.001733,-2.0063539,-4.5477715,0.22720096,0
-1.1193,10.7271,2.0938,-5.6504,1.5218384,-6.8924503,-0.80368185,-0.1461379,0
1.8799,2.4707,2.4931,0.37671,-5.289696,-0.15694629,-1.93267,0.22609815,0
3.583,-3.7971,3.4391,-0.1250099999999999,-5.868812,1.2399061,-1.6857214,-0.26857132,0
0.1908099999999999,9.1297,-3.725,-5.8224,-0.38327837,-6.7360578,1.9661539,-0.14740402,0
3.6582,5.6864,-1.7157,-0.23751,-5.4293795,-2.4645965,1.2553077,-0.25841773,0
-0.13144,-1.7775,8.3316,0.35214,-0.14332443,0.60531396,-4.680667,0.23245524,0
2.3925,9.798,-3.0361,-2.8224,-4.019494,-3.5620477,1.2873564,-0.117539026,0
1.6426,3.0149,0.22849,-0.147,-4.3644843,0.35753277,-0.42842218,-0.49615282,0
-0.1178299999999999,-1.5789,8.03,-0.028031,-0.31443766,0.53017145,-4.784739,-0.2813542,0
-0.69572,8.6165,1.8419,-4.3289,1.4892104,-6.745814,-0.74749815,-0.15960734,0
2.9421,7.4101,-0.97709,-0.8840600000000001,-5.1091585,-2.797582,0.42577165,-0.2942918,0
-1.7559,11.9459,3.0946,-4.8978,1.9505213,-6.514254,-1.3600605,-0.09469581,0
-1.2537,10.8803,1.931,-4.3237,1.5218384,-6.8924503,-0.80368185,-0.1461379,0
3.2585,-4.4614,3.8024,-0.15087,-5.880761,1.2399061,-1.6857214,-0.3538314,0
1.8314,6.3672,-0.036278,0.049554,-4.761276,-2.5833902,0.15125652,-0.025383927,0
4.5645,-3.6275,2.8684,0.27714,-6.1826496,1.3564899,-1.2799234,0.19962509,0
2.7365,-5.0325,6.6608,-0.57889,-6.022116,1.6864008,-1.9977822,-0.37553763,0
0.9297,-3.7971,4.6429,-0.2957,-3.6055315,1.4486144,-2.9442043,-0.5664646,0
3.9663,10.1684,-4.1131,-4.6056,-4.3413367,-3.520785,1.8689742,-0.117539026,0
1.4578,-0.08485,4.1785,0.59136,-3.2892447,0.12608652,-3.4356132,0.4824174,0
4.8272,3.0687,0.68604,0.8073100000000001,-6.498012,0.18627092,-0.21764201,0.47065765,0
-2.341,12.3784,0.70403,-7.5836,2.6514173,-6.850969,-0.15582274,-0.10997215,0
-1.8584,7.886,-1.6643,-1.8384,2.118587,-6.4480577,1.2548367,-0.1934318,0
4.1454,7.257000000000001,-1.9153,-0.8607799999999999,-4.968268,-2.9132118,1.4036914,-0.2511556,0
1.9157,6.0816,0.23705,-2.0116,-4.749309,-2.2438319,-0.487413,-0.20600314,0
4.0215,-2.1914,2.4648,1.1409,-6.201602,1.423851,-1.2210349,0.47620285,0
5.8862,5.8747,-2.8167,-0.3008699999999999,-5.3501053,-2.6696224,1.5358789,-0.2450952,0
-2.0897,10.8265,2.3603,-3.4198,2.5793025,-6.6768765,-0.9837341,-0.08377147,0
4.0026,-3.5943,3.5573,0.26809,-5.870342,1.2640588,-1.6574004,0.19962509,0
-0.78689,9.5663,-3.7867,-7.5034,1.0895765,-7.1728973,1.5236509,-0.114670835,0
4.1757,10.2615,-3.8552,-4.3056,-4.379893,-3.5245326,1.4394354,-0.117539026,0
0.8329200000000001,7.5404,0.65005,-0.92544,-2.9177911,-3.1984076,-0.71728545,-0.6283914,0
4.8077,2.2327,-0.26334,1.5534,-6.626546,0.52373785,1.0830314,0.36477125,0
5.3063,5.2684,-2.8904,-0.5271600000000001,-5.464903,-1.8748865,1.8030196,-0.2502672,0
2.5605,9.2683,-3.5913,-1.356,-4.4369564,-3.4925969,1.4394354,-0.23882695,0
2.1059,7.6046,-0.47755,-1.8461,-4.416262,-3.0100002,0.30424,-0.29398537,0
2.1721,-0.73874,5.4672,-0.7237100000000001,-5.0589757,1.0518664,-2.1296313,-0.38174027,0
4.2899,9.1814,-4.6067,-4.3263,-4.4791102,-3.4208283,3.2185884,-0.117539026,0
3.5156,10.1891,-4.2759,-4.978,-4.188081,-3.520785,2.1342413,-0.117539026,0
2.614,8.0081,-3.7258,-1.3069,-4.61033,-3.3292994,1.4495124,-0.23882695,0
0.68087,2.3259,4.9085,0.54998,-2.1835346,-0.44663385,-3.8905516,0.48683685,0
4.1962,0.74493,0.8325600000000001,0.753,-6.310839,0.12620272,-0.5716239,0.4619751,0
6.0919,2.9673,-1.3267,1.4551,-6.6083283,0.52373785,1.150003,0.36477125,0
1.3234,3.2964,0.2362,-0.11984,-3.744981,0.36246115,-0.80282617,-0.6214223,0
1.3264,1.0326,5.6566,-0.4133699999999999,-3.4784272,-0.23707782,-3.38065,-0.49628133,0
-0.16735,7.6274,1.2061,-3.6241,-0.9856554,-4.972199,-0.46085984,-0.31885886,0
-1.3,10.2678,-2.9530000000000003,-5.8638,1.1335235,-7.186609,1.4934156,-0.114670835,0
-2.2261,12.5398,2.9438,-3.5258,2.568578,-6.598425,-1.051461,-0.08377147,0
2.4196,6.4665,-0.75688,0.228,-5.440785,-2.6081903,0.47379345,0.08232503,0
1.0987,0.6394,5.989,-0.58277,-3.410813,-0.22873624,-3.4566054,-0.49628133,0
4.6464,10.5326,-4.5852,-4.206,-4.5009513,-3.4778914,3.0639467,-0.117539026,0
-0.36038,4.1158,3.1143,-0.37199,-0.070733465,-0.2943732,-3.129993,-0.53031933,0
1.3562,3.2136,4.3465,0.78662,-2.8747315,-0.29165778,-3.4603963,0.9116199,0
0.5706,-0.0248,1.2421,-0.5621,-2.1859396,0.2889198,-1.0912049,-0.784325,0
-2.6479,10.1374,-1.331,-5.4707,2.8440986,-6.8089314,0.9011777,-0.059970904,0
3.1219,-3.137,1.9259,-0.37458,-6.2491097,1.406954,-0.8410252,-0.38488424,0
5.4944,1.5478,0.041694,1.9284,-6.723208,0.41719386,0.72505563,0.36477125,0
-1.3389,1.5519999999999998,7.0806,1.031,2.5111172,-2.1735766,-4.6654754,0.2321054,0
-2.3361,11.9604,3.0835,-5.4435,2.5311363,-6.4943657,-1.2770889,-0.08377147,0
2.2596,-0.033118,4.7355,-0.2776,-5.0256157,0.15747352,-2.3281198,-0.33615214,0
0.46901,-0.63321,7.3848,0.36507,-1.2446097,-0.17823307,-4.8034544,0.47602588,0
2.7296,2.8701,0.5112399999999999,0.5099,-6.4250064,0.15958935,-0.26570255,0.27311504,0
2.0466,2.03,2.1761,-0.083634,-5.267263,-0.08434595,-1.6510952,-0.1030509,0
-1.3274,9.498,2.4408,-5.2689,1.75764,-6.6848207,-1.0331846,-0.10025543,0
3.8905,-2.1521,2.6302,1.1047,-6.201602,1.423851,-1.2210349,0.47620285,0
3.9994,0.90427,1.1693,1.6892,-6.324951,0.12690128,-0.56833667,0.47210103,0
2.3952,9.5083,-3.1783,-3.0086,-4.111383,-3.5620477,1.3792453,-0.117539026,0
3.2704,6.9321,-1.0456,0.2344699999999999,-5.4067774,-2.6556315,0.4965102,0.24278657,0
-1.3931,1.5664,7.5382,0.78403,2.5111172,-2.1735766,-4.6654754,0.2321054,0
1.6406,3.5488,1.3964,-0.36424,-4.1888514,0.16721725,-1.3379648,-0.624933,0
2.7744,6.8576,-1.0671,0.075416,-5.2980547,-2.6081903,0.4387719,-0.025383927,0
2.4287,9.3821,-3.2477,-1.4543,-4.379893,-3.5496602,1.4394354,-0.23882695,0
4.2134,-2.806,2.0116,0.6741199999999999,-6.272925,1.4767712,-0.7840404,0.31307614,0
1.6472,0.48213,4.7449,1.225,-3.6714382,-0.29588255,-2.8724241,0.7195221,0
2.0597,-0.99326,5.2119,-0.29312,-5.060415,1.0547447,-2.1310704,-0.38174027,0
0.3798,0.7098,0.7572,-0.4444,-1.6048564,0.33592272,-1.0062499,-0.77085066,0
1.0135,8.4551,-1.672,-2.0815,-2.148889,-4.4448433,1.1308637,-0.37212795,0
4.5691,-4.4552,3.1769,0.004296,-5.8687177,1.2461684,-1.6849174,-0.09053739,0
0.5746100000000001,10.1105,-1.6917,-4.3922,-1.334309,-5.2070165,1.4670624,-0.3830523,0
0.5734,9.1938,-0.9094,-1.872,-1.5543686,-5.010734,0.8007596,-0.5461762,0
5.2868,3.257,-1.3721,1.1668,-6.582729,0.52373785,1.2269455,0.36477125,0
4.0102,10.6568,-4.1388,-5.0646,-4.3413367,-3.520785,1.8689742,-0.117539026,0
4.1425,-3.6792,3.8281,1.6297,-5.889294,1.33142,-1.5985117,0.47620285,0
3.0934,-2.9177,2.2232,0.22283,-6.2166996,1.3385994,-1.3259476,-0.036356866,0
2.2034,5.9947,0.53009,0.84998,-4.9624243,-2.4427896,-0.52846783,0.37949508,0
3.744,0.79459,0.95851,1.0077,-6.324951,0.12690128,-0.56833667,0.47210103,0
3.0329,2.2948,2.1135,0.35084,-5.768376,0.0164302,-1.1343453,0.19937174,0
3.7731,7.2073,-1.6814,-0.94742,-4.9852633,-2.8444114,1.1910071,-0.25841773,0
3.1557,2.8908,0.5969300000000001,0.79825,-6.500742,0.18354088,-0.21218187,0.47065765,0
1.8114,7.6067,-0.9788,-2.4668,-4.249158,-3.156428,0.3368945,-0.17734541,0
4.988,7.2052,-3.2846,-1.1608,-5.059808,-2.9324367,1.5083957,-0.2450952,0
2.483,6.6155,-0.79287,-0.90863,-5.306978,-2.6070402,0.43901116,-0.30025363,0
1.594,4.7055,1.3758,0.081882,-3.8208756,-0.51910335,-1.4117833,-0.34858328,0
-0.016103,9.7484,0.15394,-1.6134,-0.3899833,-6.2562246,0.9058764,-0.33825487,0
3.8496,9.7939,-4.1508,-4.4582,-4.3413367,-3.520785,1.8689742,-0.117539026,0
0.9297,-3.7971,4.6429,-0.2957,-3.6055315,1.4486144,-2.9442043,-0.5664646,0
4.9342,2.4107,-0.17594,1.6245,-6.6555243,0.46027336,0.9108087,0.36477125,0
3.8417,10.0215,-4.2699,-4.9159,-4.3413367,-3.520785,1.8689742,-0.117539026,0
5.3915,9.9946,-3.8081,-3.3642,-4.379893,-3.5245326,1.4394354,-0.117539026,0
4.4072,-0.070365,2.0416,1.1319,-5.967242,0.4359951,-1.0136923,0.4520507,0
2.6946,6.7976,-0.40301,0.4491199999999999,-5.40555,-2.662635,0.48950684,0.25556576,0
5.2756,0.13863,0.12138,1.1435,-6.7338314,0.43951425,0.7090761,0.36905402,0
3.4312,6.2637,-1.9513,-0.36165,-5.121505,-2.7803662,1.4240825,-0.2511556,0
4.052,-0.16555,0.45383,0.51248,-6.4627748,0.4830053,-0.30507123,0.30466902,0
1.3638,-4.7759,8.4182,-1.8836,-3.1297457,1.4590861,-3.4652915,-0.56026196,0
0.89566,7.7763,-2.7473,-1.9353,-1.4458276,-5.0001087,2.3762622,-0.29571366,0
